dtcode23,dtcode11,stdtname,dtname,dtusename,stcode11,stcode23,st2code,stname,weighted_GDP
401,346,jh_garhwa,Garhwa,garhwa,20,20,JH,JHARKHAND,2.0307273600268516
460,720,cg_gariaband,Gariaband,gariaband,22,22,CG,CHHATTISGARH,0.9473108197207752
166,141,up_gautam_buddha_nagar,Gautam Buddha Nagar,gautam_buddha_nagar,09,9,UP,UTTAR PRADESH,3.9008450204730116
168,195,up_ghazipur,Ghazipur,ghazipur,09,9,UP,UTTAR PRADESH,6.731249812871276
167,140,up_ghaziabad,Ghaziabad,ghaziabad,09,9,UP,UTTAR PRADESH,2.8933032878264715
542,729,gj_gir_somnath,Gir Somnath,gir_somnath,24,24,GJ,GUJARAT,3.9332780078066323
402,349,jh_giridih,Giridih,giridih,20,20,JH,JHARKHAND,4.872031779233
403,351,jh_godda,Godda,godda,20,20,JH,JHARKHAND,2.9058869464415436
365,305,as_nagaon,Nagaon,nagaon,18,18,AS,ASSAM,2.1279397105623343
320,709,tr_gomati,Gomati,gomati,16,16,TR,TRIPURA,0.9867326265508437
169,183,up_gonda,Gonda,gonda,09,9,UP,UTTAR PRADESH,6.911328467845084
170,188,up_gorakhpur,Gorakhpur,gorakhpur,09,9,UP,UTTAR PRADESH,7.702335233657643
404,366,jh_gumla,Gumla,gumla,20,20,JH,JHARKHAND,1.5227772818158192
496,458,mp_guna,Guna,guna,23,23,MP,MADHYA PRADESH,3.9426331317609673
497,421,mp_gwalior,Gwalior,gwalior,23,23,MP,MADHYA PRADESH,4.830760323664617
25,028,hp_hamirpur,Hamirpur,hamirpur,02,2,HP,HIMACHAL PRADESH,0.5357484536349195
171,168,up_hamirpur,Hamirpur,hamirpur,09,9,UP,UTTAR PRADESH,2.0740250757124556
120,100,rj_hanumangarh,Hanumangarh,hanumangarh,08,8,RJ,RAJASTHAN,4.309038475999397
172,705,up_hapur,Hapur,hapur,09,9,UP,UTTAR PRADESH,3.1081020973474223
498,448,mp_harda,Harda,harda,23,23,MP,MADHYA PRADESH,0.9724174307136576
173,155,up_hardoi,Hardoi,hardoi,09,9,UP,UTTAR PRADESH,8.037666357887032
65,068,uk_hardwar,Hardwar,hardwar,05,5,UK,UTTARAKHAND,4.994704077029163
613,574,ka_hassan,Hassan,hassan,29,26,KA,KARNATAKA,3.78627142813034
174,144,up_hathras,Hathras,hathras,09,9,UP,UTTAR PRADESH,3.421263361949996
614,564,ka_haveri,Haveri,haveri,29,26,KA,KARNATAKA,3.2253332152722622
405,360,jh_hazaribagh,Hazaribagh,hazaribagh,20,20,JH,JHARKHAND,6.2440601156517035
499,449,mp_hoshangabad,Hoshangabad,hoshangabad,23,23,MP,MADHYA PRADESH,2.5127663574345784
635,596,kl_idukki,Idukki,idukki,32,29,KL,KERALA,1.2519570425105024
296,277,mn_imphal_west,Imphal West,imphal_west,14,14,MN,MANIPUR,1.051691080943343
500,439,mp_indore,Indore,indore,23,23,MP,MADHYA PRADESH,6.465118496371418
501,451,mp_jabalpur,Jabalpur,jabalpur,23,23,MP,MADHYA PRADESH,4.310400781483289
431,380,od_jagatsinghapur,Jagatsinghapur,jagatsinghapur,21,21,OD,ODISHA,3.8680807668117745
121,110,rj_jaipur,Jaipur,jaipur,08,8,RJ,RAJASTHAN,14.387806129126124
122,114,rj_jaisalmer,Jaisalmer,jaisalmer,08,8,RJ,RAJASTHAN,1.6988396540122668
432,382,od_jajapur,Jajapur,jajapur,21,21,OD,ODISHA,3.7571829990157903
175,165,up_jalaun,Jalaun,jalaun,09,9,UP,UTTAR PRADESH,3.400125218201626
123,116,rj_jalor,Jalor,jalor,08,8,RJ,RAJASTHAN,3.554447586809749
406,363,jh_jamtara,Jamtara,jamtara,20,20,JH,JHARKHAND,2.301632642629099
462,405,cg_janjgir_-_champa,Janjgir - Champa,janjgir_-_champa,22,22,CG,CHHATTISGARH,3.4532495047673897
463,402,cg_jashpur,Jashpur,jashpur,22,22,CG,CHHATTISGARH,1.0068915355843455
176,194,up_jaunpur,Jaunpur,jaunpur,09,9,UP,UTTAR PRADESH,8.097888640058706
502,464,mp_jhabua,Jhabua,jhabua,23,23,MP,MADHYA PRADESH,2.437160352005611
124,129,rj_jhalawar,Jhalawar,jhalawar,08,8,RJ,RAJASTHAN,3.061339978322541
177,166,up_jhansi,Jhansi,jhansi,09,9,UP,UTTAR PRADESH,3.4839333326884407
433,371,od_jharsuguda,Jharsuguda,jharsuguda,21,21,OD,ODISHA,3.4284315071004183
125,103,rj_jhunjhunun,Jhunjhunun,jhunjhunun,08,8,RJ,RAJASTHAN,5.158214153292383
126,113,rj_jodhpur,Jodhpur,jodhpur,08,8,RJ,RAJASTHAN,12.718490838712512
544,479,gj_junagadh,Junagadh,junagadh,24,24,GJ,GUJARAT,3.5156446727375625
464,407,cg_kabeerdham,Kabeerdham,kabeerdham,22,22,CG,CHHATTISGARH,1.3190291314023561
615,579,ka_kalaburagi,Kalaburagi,kalaburagi,29,26,KA,KARNATAKA,6.588854488606552
434,395,od_kalahandi,Kalahandi,kalahandi,21,21,OD,ODISHA,3.0912896163999193
357,321,as_kamrup,Kamrup,kamrup,18,18,AS,ASSAM,2.688612035798976
435,390,od_kandhamal,Kandhamal,kandhamal,21,21,OD,ODISHA,1.3115452609949367
26,024,hp_kangra,Kangra,kangra,02,2,HP,HIMACHAL PRADESH,2.005419279659809
477,413,cg_uttar_bastar_kanker,Uttar Bastar Kanker,uttar_bastar_kanker,22,22,CG,CHHATTISGARH,0.9770371444186423
178,160,up_kannauj,Kannauj,kannauj,09,9,UP,UTTAR PRADESH,3.094119743474925
636,589,kl_kannur,Kannur,kannur,32,29,KL,KERALA,2.998134419428756
180,164,up_kanpur_nagar,Kanpur Nagar,kanpur_nagar,09,9,UP,UTTAR PRADESH,5.509984843988969
179,163,up_kanpur_dehat,Kanpur Dehat,kanpur_dehat,09,9,UP,UTTAR PRADESH,4.957057174418319
685,637,py_karaikal,Karaikal,karaikal,34,31,PY,PUDUCHERRY,0.7329114950515142
